unique_id,name,gender,age,area,marital_Status,qualification,income,occupation,policy,months_as_customer,cls,umbrella_limit,annual_premium,capital_loss,capital_gain,total_claim,fraud_reason,fraud,date,location
5e5cd1eb-9c53-4b5d-ac2a-71e54a694398,Evelyn Wisozk,Female,46,Western Cape,Married,PhD,45327.25,Financial manager,Standard Legal Plan,56,88705,95021,2955,3187,877,159519.5,,N,2021-10-01,-34.1438604|18.3218578
1b2a39be-b217-4feb-badc-7c5c7c745389,Jerald Hudson,Female,59,Gauteng,Single,High School,2100.00,Taxi Driver,Funeral Cover,28,17853,48240,1111,1629,463,4200,,N,2021-12-01,-26.2344841|28.3692875
ed0ec8d2-9cab-4d27-a945-6822c3a5239c,Jerome Parisian,Female,51,KwaZulu-Natal,Divorced,Master,18000.00,Teacher,H.E.L.P Cover,35,81520,72851,2156,2393,754,36000,,N,2022-02-01,-29.9433834|30.9249571
be530c93-be4b-46c1-88cf-1f8d7c3c554d,Amely Keeling,Male,42,Northern Cape,Married,High School,2500.00,Cosmetology and Hairdressing,Standard Legal Plan,12,83291,69588,4131,2259,941,5000,Misrepresentation of legal cases,Y,2022-06-01,-23.0226805|30.4174785
78090f5d-36b7-47ff-9b01-4e07fd631d84,Aurore Fisher,Female,50,Western Cape,Divorced,High School,2500.00,Cosmetology and Hairdressing,Standard Legal Plan,56,73622,84451,2784,2772,521,5000,,N,2021-09-01,-34.1440735|18.3218574
ce7fc0a9-93ac-445e-8cd5-a8183d3899a9,Newton Maggio,Male,27,Free State,Single,High School,11411.00,Clients and Customer Support,Funeral Cover,29,29900,42438,1107,913,516,22822,Faked death,Y,2021-12-01,-23.0229788|30.4175523
569aa2ad-5864-4cff-8b77-6bc62f138518,Nathan Nikolaus,Female,31,Western Cape,Single,High School,6489.00,Teller and Cashier,Funeral Cover,47,12071,35418,704,2159,350,12978,,N,2023-01-01,-34.1439109|18.3215164
1390b0a7-985a-4e9b-b237-0a10ec3fab9f,Aubree Wisoky,Male,55,KwaZulu-Natal,Divorced,High School,10552.00,Switchboard and Receptionist,Funeral Cover,20,27663,40003,1163,2214,623,21104,False documentation,Y,2021-02-01,-29.812486|30.8778757
749397ce-4e7d-4ddd-a4ee-d6ef7e499179,Verdie Ondricka-Hettinger,Male,48,KwaZulu-Natal,Single,High School,10261.00,Data Capturing,Standard Legal Plan,28,62919,57168,2544,4576,672,20522,,N,2023-11-01,-29.8169035|30.879905
684f664e-f8e4-42d1-b872-c8a8516e58f1,Arch Kris,Female,65,Free State,Married,High School,11411.00,Clients and Customer Support,Funeral Cover,56,20772,41645,1250,1157,643,22822,,N,2021-12-01,-23.0061804|30.3583566
3bb55f44-dd64-4d31-b06e-eaa2836b7b8b,Fabian Schmeler,Female,45,Eastern Cape,Single,Bachelor,40943.17,Cyber security engineer,Standard Legal Plan,14,99571,78732,4285,1536,683,78732,,N,2021-05-01,-33.7950533|25.3869171
46527f8c-1585-4811-ac92-eb3c016aa0b2,Liza Kling,Female,57,KwaZulu-Natal,Divorced,High School,6489.00,Teller and Cashier,Standard Legal Plan,46,75415,53374,4700,1686,569,12978,,N,2021-07-01,-29.9987819|30.8923914
0c18886a-1213-49e1-b0f8-6e9fe1f31b35,Rocky Roberts,Male,27,Gauteng,Married,High School,2000.00,Security Guard,Funeral Cover,27,16937,36002,1062,1948,217,4000,,N,2023-03-01,-26.3843416|28.1744494
1682b066-003e-43ad-89da-59b6d5cc5560,Victor Fadel,Male,66,KwaZulu-Natal,Single,Bachelor,10261.00,Data Capturing,Standard Legal Plan,45,98496,85249,4086,4288,596,20522,,N,2022-11-01,-29.7344337|31.0802287
1399d765-7be7-4e9c-9614-7744cda5b1e8,Shanna Farrell,Female,37,Limpopo,Married,High School,2000.00,Security Guard,Standard Legal Plan,47,95876,66578,3811,1412,963,4000,,N,2022-02-01,-23.0226805|30.4174785
ab2e1a3f-7c76-4846-9e8e-860468855d87,Salvatore Jast,Male,52,Northern Cape,Divorced,High School,2500.00,Cosmetology and Hairdressing,Standard Legal Plan,44,87623,83548,2692,2221,844,5000,,N,2021-12-01,-23.0229788|30.4175523
ee030b79-5b11-471c-8afc-1598661019e7,Abagail Bogisich,Male,43,Western Cape,Married,High School,3000.00,Domestic Worker,Domestic Worker Cover,21,29685,32061,1365,1592,300,6000,,N,2023-05-01,-34.1441521|18.3209649
adddd803-1069-41cd-9e94-b60a16904748,Verla Bechtelar,Female,38,Eastern Cape,Married,High School,2100.00,Taxi Driver,Funeral Cover,45,27810,45883,1317,1318,336,4200,,N,2021-06-01,-33.8945372|25.5601266
8e29abae-55d3-4769-8fcf-98542db6cf37,Imogene McCullough,Female,55,KwaZulu-Natal,Married,High School,11653.00,Telesales and Telemarketing,Funeral Cover,48,22700,43670,607,1709,389,23306,False documentation,Y,2023-08-01,-30.2045832|30.7479765
ff88bf8d-547f-4baf-ad09-adf8c57d77c9,Abel Jacobs,Female,67,Gauteng,Single,Master,41789.50,Chartered accountant,Standard Legal Plan,47,54871,73410,3965,1793,698,73410,,N,2023-08-01,-26.3266186|28.1928235
ff88bf8d-547f-4baf-ad09-adf8c57d77c9,Abel Jacobs,Female,67,Gauteng,Single,Master,41789.50,Chartered accountant,H.E.L.P Cover,47,93023,73332,2216,3336,566,146742,,N,2022-02-01,-26.1125684|28.2617908
69e2b4d9-cb0f-4c4d-9fcb-4c07dac1b4bb,Macey Leuschke,Male,39,Limpopo,Single,Bachelor,11411.00,Clients and Customer Support,Funeral Cover,15,21303,34946,743,1135,337,22822,,N,2022-03-01,-23.0229788|30.4175523
00925f62-8950-48a1-809c-c61b83a23a4c,Tristin Wisozk,Female,35,Mpumalanga,Single,Bachelor,10552.00,Switchboard and Receptionist,Funeral Cover,14,21869,31589,1983,2070,653,21104,Faked death,Y,2021-05-01,-23.0226805|30.4174785
c7bde0b3-9b77-4432-b2f9-701950d13962,Jaylen Durgan,Female,29,Gauteng,Divorced,Bachelor,14628.00,Nurse,Standard Legal Plan,47,81309,81678,4070,2507,794,29256,,N,2022-07-01,-26.4204912|28.1734732
f83d3900-1341-44b6-b792-2c2608d10e33,Maribel Greenfelder,Female,60,Mpumalanga,Married,High School,10261.00,Data Capturing,Standard Legal Plan,54,53279,81791,2244,4313,920,20522,,N,2021-07-01,-23.0229788|30.4175523
d46f5ccc-e6e4-4818-98e6-ad28ee6a6d84,Susan Thiel,Female,53,North West,Single,High School,2100.00,Taxi Driver,Standard Legal Plan,26,99908,93195,2451,4607,876,4200,,N,2022-01-01,-23.0229788|30.4175523
18f97868-cbd1-4976-bae1-d8166a1a5207,Sedrick Cummerata,Male,69,Eastern Cape,Divorced,PhD,46957.33,Plant manager,Standard Legal Plan,31,93534,87710,3335,2948,856,87710,,N,2022-04-01,-33.7951535|25.3851871
cf5f834f-66a8-48cf-a4db-ce0593ea29b1,Eveline Heaney,Female,39,Eastern Cape,Married,High School,2000.00,Security Guard,Standard Legal Plan,21,60244,57353,4274,3163,711,4000,,N,2021-10-01,-33.7960019|25.3863251
99c5d754-2471-4798-b9d0-48fc8babca41,Jovani Koch,Female,45,Free State,Divorced,Bachelor,10261.00,Data Capturing,Funeral Cover,12,25756,41212,1854,1362,548,20522,,N,2021-08-01,-23.0057609|30.3571235
6edc091a-d54a-4fad-b49d-b495c3823b77,Sheila Champlin,Male,36,Gauteng,Married,Master,16885.00,Police Officer,Standard Legal Plan,44,52903,74095,4805,1577,780,33770,,N,2021-04-01,-26.2937906|28.1381156
d36c18dd-f354-41c2-9f4a-a93c9ce79740,Emile Beatty,Male,40,Free State,Married,High School,2500.00,Cosmetology and Hairdressing,Standard Legal Plan,32,75817,69539,3548,3686,655,5000,,N,2022-08-01,-23.005797|30.3579688
5f5736be-28b6-4e2b-8f53-cc8f0dc4a407,Noemi Flatley,Male,48,Western Cape,Divorced,Master,13587.00,Travel Agent,Standard Legal Plan,26,73403,68388,4400,2887,644,27174,,N,2023-06-01,-34.1441521|18.32116
9802a227-937f-4df3-9f8c-e07b9419e1df,Jaida O'Hara,Female,57,North West,Divorced,High School,2100.00,Taxi Driver,Standard Legal Plan,27,59889,72493,4563,1261,588,4200,,N,2022-02-01,-23.0061804|30.3583566
a38cb44c-fe64-4839-a597-4e9fed547e2d,Jevon Kuvalis,Male,27,KwaZulu-Natal,Divorced,Master,18000.00,Teacher,H.E.L.P Cover,26,72675,87917,3308,2627,801,36000,,N,2022-09-01,-30.2009015|30.7485114
4fc997aa-dd0e-42dc-abef-2a2c00de81ca,Harrison Rice,Male,35,Free State,Divorced,High School,10261.00,Data Capturing,Funeral Cover,42,26691,48744,1634,2223,593,20522,Faked death,Y,2022-03-01,-23.0053436|30.3565693
22b0a23b-8656-4bc2-b69a-e22be51249c7,Jean Mayert,Male,50,Eastern Cape,Single,Bachelor,14628.00,Nurse,Funeral Cover,40,16233,34342,1094,2610,475,29256,False documentation,Y,2022-01-01,-33.7960168|25.3860365
3f2d0d9d-0086-410d-8773-06349c1ba28e,Jocelyn Murray,Male,46,Eastern Cape,Married,High School,2000.00,Security Guard,Standard Legal Plan,52,55133,82972,2423,3722,565,4000,Misrepresentation of legal cases,Y,2023-05-01,-33.795395|25.3865253
40a3ba8e-9552-4adc-834f-928ab018795e,Susanna Wuckert,Female,54,Eastern Cape,Divorced,Master,16885.00,Police Officer,Funeral Cover,35,20076,36853,1971,2660,517,33770,False documentation,Y,2022-09-01,-33.7947393|25.3860974
31551292-1c5c-42c5-9919-594e8c5b3e90,Marvin Schmidt,Female,38,Eastern Cape,Divorced,Bachelor,14628.00,Nurse,Standard Legal Plan,49,59090,78967,3018,3148,753,29256,,N,2021-10-01,-33.7949552|25.3858939
79df90d5-29f3-43b5-b13a-b82014a78144,Collin Lubowitz,Female,49,Mpumalanga,Married,Master,13587.00,Travel Agent,Standard Legal Plan,37,61480,79008,2185,2563,751,27174,,N,2022-07-01,-23.0061804|30.3583566
09f8b60a-2770-4793-aac8-3d06877b6a1a,Dimitri Schuster,Male,49,Mpumalanga,Divorced,Bachelor,8283.00,Ticketing clerk,Standard Legal Plan,22,73275,73677,2242,3053,977,16566,,N,2023-05-01,-23.0057609|30.3571235
e1ca1bd0-afa9-4ee7-9c1f-434c65bc2c1a,Kay Schaefer,Female,62,Gauteng,Divorced,High School,2100.00,Taxi Driver,Funeral Cover,18,24260,48046,1225,947,382,4200,,N,2021-10-01,-25.7777922|28.740889
37036d8d-9322-413d-bd9f-74877e7e30b9,Lily Hartmann,Female,34,Mpumalanga,Single,Bachelor,8283.00,Ticketing clerk,Standard Legal Plan,56,57991,70615,4830,3417,847,16566,,N,2023-07-01,-23.005797|30.3579688
1cb52b8d-d0c1-4418-94b1-142ecd9032e6,Lolita Reynolds,Male,48,Northern Cape,Single,High School,10552.00,Switchboard and Receptionist,Standard Legal Plan,42,76496,71319,3948,4591,530,21104,,N,2021-03-01,-23.0061804|30.3583566
53223911-b544-4714-abd4-726787c20c70,Kaylee Koepp,Male,59,Gauteng,Married,PhD,46957.33,Plant manager,Standard Legal Plan,39,64851,88349,4974,4402,855,88349,,N,2022-01-01,-25.832744|28.2423654
150dc081-73da-474c-ac9d-c563b839145b,Aliya Cole,Male,41,Eastern Cape,Single,Bachelor,10552.00,Switchboard and Receptionist,Standard Legal Plan,14,81218,60986,2501,2833,536,21104,,N,2022-10-01,-33.794961|25.3870646
8c171ae1-99ae-45d0-b426-dee39e448da5,Cesar Crooks,Male,42,North West,Divorced,High School,10261.00,Data Capturing,Funeral Cover,25,25856,36267,1846,778,406,20522,False documentation,Y,2021-09-01,-23.0057609|30.3571235
9ff01a47-00ba-4d03-ae1f-2911d805a34a,Brandt Schaefer,Female,49,Eastern Cape,Divorced,Bachelor,10552.00,Switchboard and Receptionist,Funeral Cover,13,24518,38707,1103,2778,312,21104,Murder For Claims,Y,2022-08-01,-33.7950909|25.3871496
ff14a8be-a179-448f-a843-165307992029,Mina Huel,Female,47,Western Cape,Divorced,High School,3000.00,Domestic Worker,Domestic Worker Cover,13,32489,31942,1098,1948,245,6000,,N,2023-10-01,-34.1441433|18.3213455
6883fa3a-a22c-4f5b-b5bb-8e4a69282907,Junius Wiegand,Female,46,KwaZulu-Natal,Married,High School,2100.00,Taxi Driver,Funeral Cover,30,15746,44105,660,1316,662,4200,Faked death,Y,2023-02-01,-30.200058|30.7497723
602c90e2-b194-4daa-b6f5-6ba2c17f1c8b,Antonietta O'Connell,Female,49,North West,Single,High School,2100.00,Taxi Driver,Standard Legal Plan,17,78164,86266,2275,4241,772,4200,,N,2023-05-01,-23.005797|30.3579688
64aa52e6-5c32-40f6-b7f3-d07f87cbdace,Gudrun Swift,Male,61,Mpumalanga,Single,High School,2100.00,Taxi Driver,Standard Legal Plan,18,72472,90875,3439,1444,974,4200,,N,2021-12-01,-23.0053436|30.3565693
53588e50-879b-4157-ae4c-1300f389065d,Zaria Hessel,Male,30,Gauteng,Single,Master,18000.00,Teacher,Standard Legal Plan,34,98919,64062,3407,2163,714,36000,,N,2023-05-01,-26.1316096|28.4139676
ee7c0f55-ad9c-4fc6-9355-6c4c161ad537,Leann Farrell,Female,48,Eastern Cape,Divorced,High School,11653.00,Telesales and Telemarketing,Funeral Cover,58,26471,49973,603,2955,317,23306,,N,2022-10-01,-33.7952557|25.3858051
3a0554a6-1eda-445f-a295-0a5f44d3a654,Rosa Maggio,Male,67,Limpopo,Divorced,Bachelor,14628.00,Nurse,Funeral Cover,44,26586,36863,1968,2353,494,29256,Murder For Claims,Y,2021-01-01,-23.0061804|30.3583566
5418eb1a-889d-4eb9-8d38-e00450611dd0,Randall Conn,Male,32,North West,Married,Bachelor,10261.00,Data Capturing,Funeral Cover,45,22735,35096,1326,2681,730,20522,,N,2023-07-01,-23.0053436|30.3565693
39b0422c-af49-477c-af93-659f42f2a34f,Noble Emard,Male,59,Gauteng,Married,High School,8283.00,Ticketing clerk,Standard Legal Plan,20,77268,87065,2299,4464,953,16566,,N,2022-11-01,-25.5255391|28.0437522
7691cf0a-45e8-449f-a590-13ffe3227c78,Ahmed Bayer-Jakubowski,Male,37,Northern Cape,Married,High School,10552.00,Switchboard and Receptionist,Funeral Cover,14,13771,32376,679,1850,331,21104,Faked death,Y,2021-09-01,-23.0057609|30.3571235
3908dd3f-eaf2-47e2-8afc-4e7ec5fdec20,Rashawn Hayes,Female,54,Mpumalanga,Married,High School,2000.00,Security Guard,Funeral Cover,50,12437,38779,1366,1188,454,4000,Faked death,Y,2022-09-01,-23.00559|30.3554359
a58e2b32-1f0f-4bb0-a20c-f9db5dbdf853,Alana Jacobson,Male,58,Eastern Cape,Married,Bachelor,18000.00,Teacher,H.E.L.P Cover,50,73141,90978,4108,1645,726,36000,,N,2023-09-01,-33.7948238|25.3867671
4ab2f0da-95e8-47eb-9157-c07cc4b519bf,Alexandria Bednar,Male,31,KwaZulu-Natal,Divorced,Bachelor,10552.00,Switchboard and Receptionist,Standard Legal Plan,36,63578,86066,2439,2933,798,21104,,N,2022-09-01,-30.1997031|30.7495153
329d0087-22f5-46b0-a094-978260be95a6,Pauline Pfannerstill,Male,53,Gauteng,Married,Bachelor,16885.00,Police Officer,Standard Legal Plan,30,94681,64660,4576,4811,625,33770,,N,2022-04-01,-25.8265955|28.2548584
b58499ff-82ea-49ae-a511-123c5ec9788b,Lucile Hane,Male,35,KwaZulu-Natal,Married,Bachelor,10552.00,Switchboard and Receptionist,Standard Legal Plan,51,60834,70708,2276,3431,984,21104,Fake legal bills,Y,2021-02-01,-30.1993529|30.7499742
cbc347ec-b6a7-4a49-9d71-12546c87a1c5,Kirsten Fadel,Male,34,Gauteng,Married,Bachelor,8283.00,Ticketing clerk,Funeral Cover,42,19438,40510,1979,765,278,16566,Faked death,Y,2022-07-01,-26.1165783|28.2508154
6297c61f-0930-47e8-8ef3-b59a953e57ae,Maybell Daugherty,Male,58,Free State,Divorced,Master,16885.00,Police Officer,Standard Legal Plan,54,59139,50374,3671,2964,847,33770,,N,2023-08-01,-23.00559|30.3554359
4acdf960-e05b-4bd8-8f25-21a15448fe60,Kelly Quigley-O'Reilly,Male,27,Western Cape,Divorced,High School,6489.00,Teller and Cashier,Funeral Cover,9,22822,40441,1971,2385,619,12978,,N,2021-12-01,-34.1444988|18.3215659
bfafb1d0-630b-49d9-a7cf-0a808ce9b74a,Amani Zulauf,Male,54,Northern Cape,Single,High School,2500.00,Cosmetology and Hairdressing,Funeral Cover,20,16689,35953,1895,714,223,5000,Murder For Claims,Y,2023-12-01,-23.005797|30.3579688
8bb88cd1-bb19-4db4-b24f-3c3165274be7,Filiberto Zieme,Female,68,Mpumalanga,Divorced,Bachelor,16885.00,Police Officer,H.E.L.P Cover,27,73344,65378,3797,4896,585,33770,,N,2023-04-01,-23.0053343|30.3593536
de6fd4f4-6b22-4527-bfa2-f46dd1d57bb8,Albert Hansen,Male,25,Gauteng,Single,High School,2100.00,Taxi Driver,Funeral Cover,38,12938,49560,811,1066,463,4200,Faked death,Y,2021-03-01,-26.362921|28.22556
e74c847e-033e-46b4-af17-9ab481e38b3b,Stanton Funk,Male,29,Western Cape,Divorced,Bachelor,16885.00,Police Officer,H.E.L.P Cover,21,66016,76160,4306,1185,640,33770,,N,2021-08-01,-34.1441434|18.321516
96619d65-503a-469d-bbfc-5ee63110319d,Kay Fritsch,Male,32,KwaZulu-Natal,Married,High School,2100.00,Taxi Driver,Funeral Cover,51,23315,33426,1774,2067,614,4200,,N,2021-05-01,-29.8587333|31.018688
3953e519-9c72-4cce-bc51-a634b965c3eb,Noel McLaughlin,Female,54,Gauteng,Single,Bachelor,41789.50,Chartered accountant,H.E.L.P Cover,39,55381,50902,3682,3886,781,50902,,N,2022-05-01,-26.1032214|28.4862601
8fba65fd-8bd3-4321-9a77-bda8e86c76b4,Isabelle Bruen,Male,41,Gauteng,Single,High School,2500.00,Cosmetology and Hairdressing,Standard Legal Plan,49,69194,86226,2931,4090,642,5000,,N,2023-04-01,-26.3839457|28.4077733
9428c3a7-4948-4c3a-ad16-5987a122486e,Audie Douglas,Male,40,Limpopo,Single,High School,6489.00,Teller and Cashier,Standard Legal Plan,39,61781,86491,2063,1933,974,12978,,N,2023-08-01,-23.0057609|30.3571235
61b83371-6358-433a-b662-f36d06372e57,Caleigh Schneider,Male,44,Mpumalanga,Married,High School,8283.00,Ticketing clerk,Standard Legal Plan,7,97097,82381,3052,2630,750,16566,,N,2023-06-01,-23.0051071|30.3581067
a816b33b-c6e0-491a-919e-5f1b98558f0a,Alanna Altenwerth,Female,38,Eastern Cape,Divorced,High School,10552.00,Switchboard and Receptionist,Funeral Cover,6,26711,41446,935,2412,660,21104,,N,2022-11-01,-33.8943838|25.5603116
4c491df7-0370-40e2-a839-063d97f0f514,Irma Wisozk,Female,31,KwaZulu-Natal,Single,High School,2100.00,Taxi Driver,Funeral Cover,38,17155,34551,1677,934,658,4200,Faked death,Y,2023-10-01,-29.8690923|31.0427253
6575e50d-b088-4b35-96fd-85e8c66e1c2c,Fatima Daugherty,Female,51,Mpumalanga,Divorced,High School,2000.00,Security Guard,Funeral Cover,56,26241,47352,1496,2123,731,4000,Murder For Claims,Y,2023-09-01,-23.0049691|30.3571606
6448c3b9-7b38-4bf0-9c12-602d4ab80b5f,Bernardo Streich,Male,36,Free State,Married,High School,3000.00,Domestic Worker,Domestic Worker Cover,51,31804,39916,2677,578,363,6000,False documentation,Y,2023-09-01,-23.0053343|30.3593536
ab987605-2173-472b-82bd-1b4ce3b24ecb,Leonel Berge,Female,31,North West,Married,High School,2500.00,Cosmetology and Hairdressing,Standard Legal Plan,47,61796,65824,4847,3972,784,5000,,N,2023-03-01,-23.00559|30.3554359
870ac987-b219-477c-93bd-ecc06e4f2b42,Boyd Kutch,Female,25,Gauteng,Single,High School,2500.00,Cosmetology and Hairdressing,Standard Legal Plan,7,60335,59368,3800,3407,760,5000,,N,2022-01-01,-25.6026948|27.9889226
ad029eee-b7eb-49b1-91c7-12dc1e6697fb,Krystel Keeling-Wunsch,Female,53,Western Cape,Married,High School,11411.00,Clients and Customer Support,Funeral Cover,32,11890,38367,1207,1609,397,22822,,N,2021-02-01,-34.144144|18.3216866
e88cd8ab-afe9-4891-9ba8-8e73470bd59a,Pierre Hyatt,Female,66,Gauteng,Married,Master,13587.00,Travel Agent,Standard Legal Plan,40,79012,98148,3173,4831,807,27174,,N,2021-03-01,-25.5413637|28.2128725
d966dac0-9523-45ef-a642-128eb9311256,Lurline Koelpin,Male,45,Western Cape,Single,High School,2500.00,Cosmetology and Hairdressing,Standard Legal Plan,38,80910,60947,4256,1091,650,5000,,N,2021-03-01,-34.1441808|18.3221449
ca42bec3-02c4-40ba-9486-9ef1851718a6,Daryl Roberts,Male,40,KwaZulu-Natal,Divorced,High School,8283.00,Ticketing clerk,Funeral Cover,9,18890,43694,1816,2792,215,16566,Faked death,Y,2023-11-01,-29.8690238|31.0426587
57f47677-616c-489f-b5c8-d30fc602c893,Darrion Bruen,Female,27,Limpopo,Married,High School,3000.00,Domestic Worker,Funeral Cover,18,14123,38417,1205,626,427,6000,Faked death,Y,2023-10-01,-23.005797|30.3579688
da10a96d-7ece-46c0-b510-ff0693ab26eb,Sister Heidenreich-Grady,Female,58,Northern Cape,Married,High School,10552.00,Switchboard and Receptionist,Funeral Cover,48,12326,43047,762,1980,224,21104,Murder For Claims,Y,2021-09-01,-23.0053436|30.3565693
58f73279-9d06-4b31-881c-b83ed8393dcf,Alda Ondricka,Male,50,Mpumalanga,Married,Bachelor,10552.00,Switchboard and Receptionist,Funeral Cover,56,22498,37820,1004,1099,546,21104,False documentation,Y,2023-10-01,-23.0044271|30.3568748
bdfb3369-654e-4409-9ef8-028429f85888,Nickolas Klein,Female,56,North West,Single,High School,2500.00,Cosmetology and Hairdressing,Funeral Cover,9,14281,39055,1753,1646,777,5000,Faked death,Y,2022-08-01,-23.0053343|30.3593536
97a7e68c-8fc0-4f2f-be0e-948afe783a35,Helene Murray,Male,41,Mpumalanga,Divorced,Master,18000.00,Teacher,Standard Legal Plan,56,68877,89613,4379,1827,756,36000,,N,2023-06-01,-23.0161815|30.416009
a1abb114-da0f-46e4-b99e-c96dc3bfbe1d,Hilario Littel,Female,66,North West,Married,Bachelor,11411.00,Clients and Customer Support,Funeral Cover,43,17240,32603,526,2901,576,22822,,N,2022-09-01,-23.0051071|30.3581067
258f0833-d5aa-4aa0-88d8-a7af2b043ddd,Jordi Adams,Female,59,Eastern Cape,Married,Bachelor,8283.00,Ticketing clerk,Funeral Cover,9,22054,34258,505,644,380,16566,Faked death,Y,2022-08-01,-33.7951443|25.3869765
31983a9e-723d-4aac-886e-66b96a12f933,Ricardo Christiansen,Female,40,Northern Cape,Married,High School,2500.00,Cosmetology and Hairdressing,Standard Legal Plan,43,90043,50882,2568,1680,908,5000,,N,2023-09-01,-23.00559|30.3554359
1e5b67e7-8891-4b82-b8ae-81f35950f353,Stacy Nienow,Female,68,Gauteng,Divorced,High School,11653.00,Telesales and Telemarketing,Funeral Cover,25,15032,44470,1788,1077,459,23306,,N,2021-03-01,-25.8128684|28.1421632
416bead4-801e-47db-a58c-841e3b053454,Uriah Blick,Female,26,KwaZulu-Natal,Divorced,Bachelor,18000.00,Teacher,Standard Legal Plan,47,89408,71400,4078,3138,853,36000,,N,2023-09-01,-29.8588284|31.0187138
d43c6c3d-d205-46f9-90c4-eee3f7591f1e,Malachi Kutch,Female,28,North West,Divorced,High School,2000.00,Security Guard,Funeral Cover,37,16371,46056,722,1020,647,4000,,N,2021-11-01,-23.0049691|30.3571606
44fe1eb9-fd6d-41e2-9f7d-aadae4a479ef,Giovanny Friesen,Male,27,Limpopo,Divorced,High School,2000.00,Security Guard,Funeral Cover,45,13674,40971,1842,2641,409,4000,Faked death,Y,2022-12-01,-23.0053436|30.3565693
d7c6aeef-5f30-46cf-8672-9985119c3db2,Candido Collier,Female,27,Limpopo,Single,Bachelor,14628.00,Nurse,Standard Legal Plan,7,86495,56542,2901,4147,529,29256,,N,2023-01-01,-23.00559|30.3554359
ba10c0df-02f4-414d-8630-38219a6e2323,Marcelina Wuckert,Male,59,Free State,Single,Bachelor,10552.00,Switchboard and Receptionist,Funeral Cover,52,28954,39852,1488,2990,553,21104,,N,2021-03-01,-23.0051071|30.3581067
24003fd7-4449-4594-be67-85559f86fb6a,Bianka Thiel,Male,58,Northern Cape,Single,PhD,40943.17,Cyber security engineer,H.E.L.P Cover,50,71650,97784,3889,1982,981,81886.34,,N,2023-03-01,-23.0053343|30.3593536
24003fd7-4449-4594-be67-85559f86fb6a,Bianka Thiel,Male,58,Northern Cape,Single,PhD,40943.17,Cyber security engineer,Standard Legal Plan,50,68955,79720,2891,1084,937,161606.34,,N,2022-08-01,-23.0051071|30.3581067
18fe9600-0d29-4d74-b479-29cc69d438df,Destin Connelly,Female,28,Gauteng,Single,High School,2500.00,Cosmetology and Hairdressing,Funeral Cover,39,25131,31436,1113,2314,480,5000,False documentation,Y,2022-08-01,-26.3544269|28.1026731
